"","Town","County","popTotal","medianAge","popNative_bornUSA","popNative","popNaitve_bornNH","popMoved_otherState","popMoved_abroad","popCommute_car","popCommute_publicT","popCommute_bicycle","popCommute_foot","popCommute_other","popCommute_home","popBA","popPov","medianIncome","incomeLabor","incomeLabor_WageSalary","incomeLabor_SelfEmpl","incomeInvest","incomeTotal","LF","LF_Civilian","LF_Civilian_Unemployed","LF_Not","housingTotal","housingVacant_rent","housingVacant_seasonal","medianHomeValue","medianGrossRent","unemplRate","LFparticipationRate","housingVacant_seasonal_percent","housingVacant_rent_percent","incomeNonLabor","incomeTransferPayment","incomeNonLabor_percent","incomeInvest_percent","incomeTransferPayment_percent","incomeLabor_percent","popPov_percent","popBA_percent","popMoved_otherState_percent","popMoved_abroad_percent","popMoved_percent","popCommute_car_percent","popCommute_publicT_percent","popCommute_bicycle_percent","popCommute_foot_percent","popCommute_other_percent","popCommute_home_percent","Year","benchM"
"49","Hill"," Merrimack",1022,50,1019,1019,587,15,0,450,9,0,5,12,22,159,64,67917,21580400,19140900,2439500,311200,30179100,530,530,21,328,498,0,60,190700,1223,3.9622641509434,61.7715617715618,12.0481927710843,0,8598700,8287500,28.4922346922208,1.03117720541699,27.4610574868038,71.5077653077792,6.26223091976517,15.5577299412916,1.46771037181996,0,1.46771037181996,44.0313111545988,0.880626223091976,0,0.489236790606654,1.17416829745597,2.15264187866928,2016,NA
"50","Holderness"," Grafton",2395,48.4,2297,2334,1093,36,0,1099,0,0,73,22,71,721,156,62206,58893600,52469700,6423900,11063800,85056300,1298,1298,17,647,1512,15,576,259300,987,1.30970724191063,66.7352185089974,38.0952380952381,0.992063492063492,26162700,15098900,30.7592735635103,13.0076196589788,17.7516539045315,69.2407264364897,6.51356993736952,30.1043841336117,1.50313152400835,0,1.50313152400835,45.8872651356994,0,0,3.04801670146138,0.918580375782881,2.96450939457202,2016,NA
"51","Laconia"," Belknap",16171,46,15511,15613,9378,470,49,7069,0,27,238,225,186,2995,2557,48893,353736200,325047100,28684400,27544900,475627600,8468,8461,635,5018,9945,120,2748,178100,888,7.50502304692117,62.7910425626576,27.63197586727,1.20663650075415,121891400,94346500,25.6274867143959,5.79127451813141,19.8362121962645,74.3725132856041,15.8122565085647,18.5208088553584,2.90643744975574,0.303011563910704,3.20944901366644,43.7140560262198,0,0.166965555624266,1.47177045328056,1.39137963020221,1.15020716096716,2016,NA
"52","Meredith"," Belknap",6354,47.6,6141,6141,3242,89,12,2598,0,0,17,52,131,1944,756,63846,144582400,134546500,10035800,59243700,255488700,2967,2967,132,2118,4654,40,1776,283700,988,4.44893832153691,58.3480825958702,38.1607219596046,0.859475719810915,110906300,51662600,43.4094736870946,23.1883836741116,20.221090012983,56.5905263129054,11.8980169971671,30.5949008498584,1.40069247717973,0.188857412653447,1.58954988983318,40.8876298394712,0,0,0.267548001259049,0.818382121498269,2.06169342146679,2016,NA
"53","Moultonborough"," Carroll",4042,53.9,3910,3926,1143,17,13,1702,0,12,8,0,166,1445,184,69869,105364200,93734500,11629700,83733200,227430800,2015,2015,76,1477,4917,0,2999,328800,1156,3.77171215880893,57.7033218785796,60.9924750864348,0,122066600,38333400,53.6719740685958,36.8170010394371,16.8549730291588,46.3280259314042,4.5522018802573,35.7496288965858,0.420583869371598,0.321622958931222,0.74220682830282,42.10786739238,0,0.296882731321128,0.197921820880752,0,4.10687778327561,2016,NA
"54","New Hampton"," Belknap",2269,44.7,2132,2154,1142,16,0,1081,0,6,34,0,103,638,197,74293,53250700,50833000,2417800,3252300,68424900,1292,1292,49,646,1117,0,190,204800,849,3.79256965944272,66.6666666666667,17.0098478066249,0,15174200,11921900,22.1764299253634,4.7530942683146,17.4233356570488,77.8235700746366,8.68223887174967,28.1181137064786,0.705156456588806,0,0.705156456588806,47.6421330982812,0,0.264433671220802,1.49845747025121,0,4.53944468929044,2016,NA
"55","Northfield"," Merrimack",4821,42.2,4595,4642,3072,99,0,2304,0,12,28,48,54,684,233,65690,112752900,105845300,6907500,3241400,139699900,2633,2633,120,1268,1828,0,27,182200,944,4.55753892897835,67.4955139707767,1.47702407002188,0,26947000,23705600,19.289204931428,2.320259355948,16.96894557548,80.710795068572,4.83302219456544,14.1879278158058,2.05351586807716,0,2.05351586807716,47.7909147479776,0,0.248911014312383,0.580792366728894,0.995644057249533,1.12009956440573,2016,NA
"56","Ossipee"," Carroll",4273,49.2,4137,4169,1421,116,5,1456,0,0,0,41,25,613,769,45980,71200000,62614800,8585200,2724900,106494400,1677,1677,43,1974,3113,0,1039,167300,927,2.56410256410256,45.9326211996713,33.3761644715708,0,35294400,32569500,33.1420243693565,2.55872609263961,30.5832982767169,66.8579756306435,17.9967236133864,14.3458928153522,2.71472033699977,0.1170138076293,2.83173414462907,34.0744207816522,0,0,0,0.959513222560262,0.585069038146501,2016,NA
"57","Sanbornton"," Belknap",2976,50.1,2922,2940,1555,40,18,1414,0,1,26,63,112,818,85,72721,83899800,71948500,11951300,6102700,106796800,1716,1716,76,810,1663,0,449,245100,NA,4.42890442890443,67.9334916864608,26.9993986770896,0,22897000,16794300,21.43978096722,5.71430979205369,15.7254711751663,78.56021903278,2.85618279569892,27.4865591397849,1.34408602150538,0.604838709677419,1.9489247311828,47.5134408602151,0,0.0336021505376344,0.873655913978495,2.11693548387097,3.76344086021505,2016,NA
"58","Sandwich"," Carroll",1342,56.7,1314,1325,491,61,2,519,0,0,13,0,69,528,96,61818,26728700,20240700,6488100,7966700,47866300,661,661,53,483,982,0,313,292200,996,8.01815431164902,57.7797202797203,31.8737270875764,0,21137600,13170900,44.1596697467738,16.6436511700299,27.516018576744,55.8403302532262,7.15350223546945,39.344262295082,4.54545454545455,0.14903129657228,4.69448584202683,38.6736214605067,0,0,0.968703427719821,0,5.14157973174367,2016,NA
"59","Tamworth"," Carroll",2893,54.1,2808,2838,1214,22,0,1425,0,0,31,97,63,577,283,49821,79141700,68739700,10402000,1609100,98326200,1680,1680,35,949,2140,0,512,184800,802,2.08333333333333,63.9026245720806,23.9252336448598,0,19184500,17575400,19.5110763967284,1.63649159633953,17.8745848003889,80.4889236032716,9.78223297614933,19.9446940891808,0.760456273764259,0,0.760456273764259,49.2568268233667,0,0,1.07155202212236,3.35292084341514,2.17767023850674,2016,NA
"60","Tilton"," Belknap",3567,49.1,3409,3455,1743,88,0,1652,0,0,13,56,28,664,391,51619,70301100,69037900,1263200,2983400,97955600,1907,1893,94,1047,1743,50,140,172600,837,4.96566296883254,64.5565335138795,8.03212851405623,2.86861732644865,27654500,24671100,28.2316682251959,3.04566558726607,25.1860026379298,71.7683317748041,10.9615923745444,18.6150827025512,2.46705915335015,0,2.46705915335015,46.3134286515279,0,0,0.364451920381273,1.5699467339501,0.784973366975049,2016,NA
"61","Tuftonboro"," Carroll",2098,53.5,2037,2048,817,27,0,841,0,0,11,14,51,586,143,54770,36423700,30401200,6022500,6202700,62003600,1022,1022,65,802,2319,0,1258,265100,1026,6.3600782778865,56.030701754386,54.2475204829668,0,25579900,19377200,41.2555077447116,10.0037739744144,31.2517337702972,58.7444922552884,6.81601525262155,27.9313632030505,1.28693994280267,0,1.28693994280267,40.0857959961868,0,0,0.524308865586273,0.667302192564347,2.43088655862726,2016,NA
"62","Wolfeboro"," Carroll",6208,54.4,5917,5966,2557,315,0,2198,72,0,50,33,360,2009,562,51051,142600300,121622400,20978000,19096100,225098100,3095,3095,316,2292,4717,9,1476,283200,892,10.2100161550889,57.4531279005012,31.2910748357007,0.190799236803053,82497800,63401700,36.6497096154965,8.48345676840453,28.166252847092,63.3502903845035,9.05283505154639,32.361469072165,5.07409793814433,0,5.07409793814433,35.4059278350515,1.15979381443299,0,0.805412371134021,0.531572164948454,5.79896907216495,2016,NA
"63","New Hampshire","New Hampshire",1327503,42.4,1236222,1250440,558839,42116,5497,613390,5966,1755,20019,6980,41885,330676,109690,68485,37044861500,34658365100,2386403000,2271053900,46813054200,746203,744528,37727,348580,620729,7288,66969,239700,1021,5.06723722949305,68.1599001811318,10.7887661121037,1.17410335267081,9768192700,7497138800,20.8663862397596,4.85132606451471,16.0150601752449,79.1336137602404,8.26288151514535,24.9096235564063,3.17257286800858,0.414085693215006,3.58665856122359,46.2062985921689,0.449415180229348,0.132203091066461,1.50801919091708,0.525799188401081,3.15517177738958,2016,2
"64","United States","United States",318558162,37.7,271639606,276363808,186708691,6111964,1695894,125037241,7476312,877995,4030730,1777051,6661892,64767787,46932225,55322,7289843460400,6844954530000,444958501400,464377152400,9502305741900,160818740,159807099,11805773,92504969,134054899,2855844,5368085,184700,949,7.38751474363476,63.4834933669789,4.00439300618174,2.13035407232674,2212462281500,1748085129100,23.2834255347546,4.88699443075536,18.3964311039993,76.7165744652454,14.7327020928756,20.3315421564995,1.91863362144838,0.532365577875226,2.45099919932361,39.250992727664,2.34692212971771,0.275615289367472,1.26530426176932,0.557841930290896,2.09126394946992,2016,1
